timestamp, utilization.gpu [%], utilization.memory [%], power.draw [W], temperature.gpu
2025/06/01 20:29:17.439, 3 %, 1 %, [N/A], 0
2025/06/01 20:29:22.448, 9 %, 3 %, [N/A], 0
2025/06/01 20:29:27.455, 13 %, 2 %, [N/A], 0
2025/06/01 20:29:32.462, 22 %, 2 %, [N/A], 0
2025/06/01 20:29:37.466, 21 %, 2 %, [N/A], 0
2025/06/01 20:29:42.474, 18 %, 2 %, [N/A], 0
2025/06/01 20:29:47.479, 18 %, 2 %, [N/A], 0
2025/06/01 20:29:52.485, 18 %, 2 %, [N/A], 0
2025/06/01 20:29:57.493, 18 %, 2 %, [N/A], 0
2025/06/01 20:30:02.496, 18 %, 2 %, [N/A], 0
2025/06/01 20:30:07.502, 18 %, 2 %, [N/A], 0
2025/06/01 20:30:12.509, 18 %, 2 %, [N/A], 0
2025/06/01 20:30:17.513, 18 %, 2 %, [N/A], 0
2025/06/01 20:30:22.518, 18 %, 2 %, [N/A], 0
2025/06/01 20:30:27.522, 18 %, 2 %, [N/A], 0
2025/06/01 20:30:32.528, 18 %, 2 %, [N/A], 0
2025/06/01 20:30:37.531, 18 %, 2 %, [N/A], 0
2025/06/01 20:30:42.535, 18 %, 2 %, [N/A], 0
2025/06/01 20:30:47.538, 18 %, 2 %, [N/A], 0
2025/06/01 20:30:52.544, 18 %, 2 %, [N/A], 0
2025/06/01 20:30:57.548, 18 %, 2 %, [N/A], 0
2025/06/01 20:31:02.551, 20 %, 2 %, [N/A], 0
2025/06/01 20:31:07.558, 18 %, 2 %, [N/A], 0
2025/06/01 20:31:12.561, 18 %, 2 %, [N/A], 0
2025/06/01 20:31:17.567, 18 %, 2 %, [N/A], 0
2025/06/01 20:31:22.573, 18 %, 2 %, [N/A], 0
2025/06/01 20:31:27.576, 18 %, 2 %, [N/A], 0
2025/06/01 20:31:32.579, 18 %, 2 %, [N/A], 0
2025/06/01 20:31:37.583, 18 %, 2 %, [N/A], 0
2025/06/01 20:31:42.586, 18 %, 2 %, [N/A], 0
2025/06/01 20:31:47.592, 18 %, 2 %, [N/A], 0
2025/06/01 20:31:52.596, 18 %, 2 %, [N/A], 0
2025/06/01 20:31:57.601, 18 %, 2 %, [N/A], 0
2025/06/01 20:32:02.611, 19 %, 2 %, [N/A], 0
2025/06/01 20:32:07.616, 18 %, 2 %, [N/A], 0
2025/06/01 20:32:12.624, 18 %, 2 %, [N/A], 0
2025/06/01 20:32:17.627, 18 %, 2 %, [N/A], 0
2025/06/01 20:32:22.631, 18 %, 2 %, [N/A], 0
2025/06/01 20:32:27.636, 18 %, 2 %, [N/A], 0
2025/06/01 20:32:32.644, 18 %, 2 %, [N/A], 0
2025/06/01 20:32:37.648, 18 %, 2 %, [N/A], 0
2025/06/01 20:32:42.651, 18 %, 2 %, [N/A], 0
2025/06/01 20:32:47.657, 18 %, 2 %, [N/A], 0
2025/06/01 20:32:52.661, 18 %, 2 %, [N/A], 0
2025/06/01 20:32:57.664, 18 %, 2 %, [N/A], 0
2025/06/01 20:33:02.673, 18 %, 2 %, [N/A], 0
2025/06/01 20:33:07.677, 20 %, 2 %, [N/A], 0
2025/06/01 20:33:12.682, 18 %, 2 %, [N/A], 0
2025/06/01 20:33:17.687, 18 %, 2 %, [N/A], 0
2025/06/01 20:33:22.692, 18 %, 2 %, [N/A], 0
2025/06/01 20:33:27.695, 18 %, 2 %, [N/A], 0
2025/06/01 20:33:32.698, 18 %, 2 %, [N/A], 0
2025/06/01 20:33:37.702, 18 %, 2 %, [N/A], 0
2025/06/01 20:33:42.706, 18 %, 2 %, [N/A], 0
2025/06/01 20:33:47.709, 18 %, 2 %, [N/A], 0
2025/06/01 20:33:52.713, 18 %, 2 %, [N/A], 0
2025/06/01 20:33:57.716, 18 %, 2 %, [N/A], 0
2025/06/01 20:34:02.720, 18 %, 2 %, [N/A], 0
2025/06/01 20:34:07.728, 18 %, 2 %, [N/A], 0
2025/06/01 20:34:12.733, 18 %, 2 %, [N/A], 0
2025/06/01 20:34:17.738, 18 %, 2 %, [N/A], 0
2025/06/01 20:34:22.742, 18 %, 2 %, [N/A], 0
2025/06/01 20:34:27.745, 18 %, 2 %, [N/A], 0
2025/06/01 20:34:32.749, 18 %, 2 %, [N/A], 0
2025/06/01 20:34:37.752, 18 %, 2 %, [N/A], 0
2025/06/01 20:34:42.761, 18 %, 2 %, [N/A], 0
2025/06/01 20:34:47.764, 18 %, 2 %, [N/A], 0
2025/06/01 20:34:52.767, 18 %, 2 %, [N/A], 0
2025/06/01 20:34:57.775, 18 %, 2 %, [N/A], 0
2025/06/01 20:35:02.779, 18 %, 2 %, [N/A], 0
2025/06/01 20:35:07.783, 18 %, 2 %, [N/A], 0
2025/06/01 20:35:12.799, 21 %, 2 %, [N/A], 0
2025/06/01 20:35:17.815, 18 %, 2 %, [N/A], 0
2025/06/01 20:35:22.824, 18 %, 2 %, [N/A], 0
2025/06/01 20:35:27.827, 18 %, 2 %, [N/A], 0
2025/06/01 20:35:32.832, 18 %, 2 %, [N/A], 0
2025/06/01 20:35:37.839, 18 %, 2 %, [N/A], 0
2025/06/01 20:35:42.844, 18 %, 2 %, [N/A], 0
2025/06/01 20:35:47.849, 18 %, 2 %, [N/A], 0
2025/06/01 20:35:52.855, 18 %, 2 %, [N/A], 0
2025/06/01 20:35:57.858, 18 %, 2 %, [N/A], 0
2025/06/01 20:36:02.862, 18 %, 2 %, [N/A], 0
2025/06/01 20:36:07.866, 18 %, 2 %, [N/A], 0
2025/06/01 20:36:12.870, 19 %, 2 %, [N/A], 0
2025/06/01 20:36:17.873, 19 %, 2 %, [N/A], 0
2025/06/01 20:36:22.876, 18 %, 2 %, [N/A], 0
2025/06/01 20:36:27.879, 18 %, 2 %, [N/A], 0
2025/06/01 20:36:32.885, 18 %, 2 %, [N/A], 0
2025/06/01 20:36:37.889, 18 %, 2 %, [N/A], 0
2025/06/01 20:36:42.894, 18 %, 2 %, [N/A], 0
2025/06/01 20:36:47.899, 18 %, 2 %, [N/A], 0
2025/06/01 20:36:52.907, 18 %, 2 %, [N/A], 0
2025/06/01 20:36:57.911, 18 %, 2 %, [N/A], 0
2025/06/01 20:37:02.917, 18 %, 2 %, [N/A], 0
2025/06/01 20:37:07.922, 18 %, 2 %, [N/A], 0
2025/06/01 20:37:12.927, 18 %, 2 %, [N/A], 0
2025/06/01 20:37:17.930, 21 %, 2 %, [N/A], 0
2025/06/01 20:37:22.935, 18 %, 2 %, [N/A], 0
2025/06/01 20:37:27.939, 18 %, 2 %, [N/A], 0
2025/06/01 20:37:32.942, 18 %, 2 %, [N/A], 0
2025/06/01 20:37:37.945, 18 %, 2 %, [N/A], 0
2025/06/01 20:37:42.949, 18 %, 2 %, [N/A], 0
2025/06/01 20:37:47.954, 18 %, 2 %, [N/A], 0
2025/06/01 20:37:52.959, 18 %, 2 %, [N/A], 0
2025/06/01 20:37:57.963, 18 %, 2 %, [N/A], 0
2025/06/01 20:38:02.966, 18 %, 2 %, [N/A], 0
2025/06/01 20:38:07.972, 18 %, 2 %, [N/A], 0
2025/06/01 20:38:12.976, 18 %, 2 %, [N/A], 0
2025/06/01 20:38:17.979, 18 %, 2 %, [N/A], 0
2025/06/01 20:38:22.983, 22 %, 2 %, [N/A], 0
2025/06/01 20:38:27.987, 18 %, 2 %, [N/A], 0
2025/06/01 20:38:32.991, 18 %, 2 %, [N/A], 0
2025/06/01 20:38:37.993, 18 %, 2 %, [N/A], 0
2025/06/01 20:38:42.997, 18 %, 2 %, [N/A], 0
2025/06/01 20:38:48.002, 18 %, 2 %, [N/A], 0
2025/06/01 20:38:53.008, 18 %, 2 %, [N/A], 0
2025/06/01 20:38:58.012, 20 %, 2 %, [N/A], 0
2025/06/01 20:39:03.016, 19 %, 2 %, [N/A], 0
2025/06/01 20:39:08.022, 18 %, 2 %, [N/A], 0
2025/06/01 20:39:13.025, 19 %, 2 %, [N/A], 0
2025/06/01 20:39:18.028, 19 %, 2 %, [N/A], 0
2025/06/01 20:39:23.032, 19 %, 2 %, [N/A], 0
2025/06/01 20:39:28.035, 19 %, 2 %, [N/A], 0
2025/06/01 20:39:33.039, 19 %, 2 %, [N/A], 0
2025/06/01 20:39:38.043, 19 %, 2 %, [N/A], 0
2025/06/01 20:39:43.049, 19 %, 2 %, [N/A], 0
2025/06/01 20:39:48.054, 19 %, 2 %, [N/A], 0
2025/06/01 20:39:53.058, 19 %, 2 %, [N/A], 0
2025/06/01 20:39:58.062, 19 %, 2 %, [N/A], 0
2025/06/01 20:40:03.065, 19 %, 2 %, [N/A], 0
2025/06/01 20:40:08.069, 19 %, 2 %, [N/A], 0
2025/06/01 20:40:13.072, 19 %, 2 %, [N/A], 0
