timestamp, utilization.gpu [%], utilization.memory [%], power.draw [W], temperature.gpu
2025/05/31 20:39:17.954, 1 %, 0 %, [N/A], 0
2025/05/31 20:39:22.958, 6 %, 1 %, [N/A], 0
2025/05/31 20:39:27.962, 0 %, 0 %, [N/A], 0
2025/05/31 20:39:32.966, 1 %, 0 %, [N/A], 0
2025/05/31 20:39:37.975, 1 %, 0 %, [N/A], 0
2025/05/31 20:39:42.981, 16 %, 4 %, [N/A], 0
2025/05/31 20:39:48.005, 28 %, 8 %, [N/A], 0
2025/05/31 20:39:53.306, 14 %, 2 %, [N/A], 0
2025/05/31 20:39:59.487, 20 %, 2 %, [N/A], 0
2025/05/31 20:40:05.841, 21 %, 2 %, [N/A], 0
2025/05/31 20:40:10.871, 31 %, 8 %, [N/A], 0
2025/05/31 20:40:15.957, 5 %, 1 %, [N/A], 0
2025/05/31 20:40:21.144, 6 %, 0 %, [N/A], 0
2025/05/31 20:40:26.148, 4 %, 2 %, [N/A], 0
2025/05/31 20:40:31.152, 6 %, 2 %, [N/A], 0
2025/05/31 20:40:36.156, 10 %, 3 %, [N/A], 0
2025/05/31 20:40:41.159, 4 %, 1 %, [N/A], 0
2025/05/31 20:40:46.163, 2 %, 0 %, [N/A], 0
2025/05/31 20:40:51.167, 1 %, 0 %, [N/A], 0
2025/05/31 20:40:56.170, 1 %, 0 %, [N/A], 0
2025/05/31 20:41:01.174, 1 %, 0 %, [N/A], 0
2025/05/31 20:41:06.180, 3 %, 0 %, [N/A], 0
2025/05/31 20:41:11.184, 8 %, 1 %, [N/A], 0
2025/05/31 20:41:16.188, 2 %, 0 %, [N/A], 0
2025/05/31 20:41:21.191, 1 %, 0 %, [N/A], 0
2025/05/31 20:41:26.195, 4 %, 0 %, [N/A], 0
2025/05/31 20:41:31.197, 2 %, 0 %, [N/A], 0
2025/05/31 20:41:36.200, 4 %, 0 %, [N/A], 0
2025/05/31 20:41:41.204, 5 %, 0 %, [N/A], 0
2025/05/31 20:41:46.208, 3 %, 0 %, [N/A], 0
2025/05/31 20:41:51.211, 4 %, 1 %, [N/A], 0
2025/05/31 20:41:56.215, 1 %, 0 %, [N/A], 0
2025/05/31 20:42:01.219, 0 %, 0 %, [N/A], 0
2025/05/31 20:42:06.222, 0 %, 0 %, [N/A], 0
2025/05/31 20:42:11.265, 1 %, 0 %, [N/A], 0
2025/05/31 20:42:16.677, 15 %, 2 %, [N/A], 0
2025/05/31 20:42:22.634, 32 %, 3 %, [N/A], 0
2025/05/31 20:42:28.166, 1 %, 0 %, [N/A], 0
2025/05/31 20:42:33.171, 0 %, 0 %, [N/A], 0
2025/05/31 20:42:38.173, 8 %, 2 %, [N/A], 0
2025/05/31 20:42:43.188, 11 %, 3 %, [N/A], 0
2025/05/31 20:42:48.221, 1 %, 0 %, [N/A], 0
2025/05/31 20:42:53.224, 1 %, 0 %, [N/A], 0
2025/05/31 20:42:58.227, 0 %, 0 %, [N/A], 0
2025/05/31 20:43:03.230, 4 %, 0 %, [N/A], 0
2025/05/31 20:43:08.234, 2 %, 0 %, [N/A], 0
2025/05/31 20:43:13.237, 1 %, 0 %, [N/A], 0
2025/05/31 20:43:18.264, 2 %, 0 %, [N/A], 0
2025/05/31 20:43:23.311, 1 %, 0 %, [N/A], 0
2025/05/31 20:43:28.316, 7 %, 2 %, [N/A], 0
2025/05/31 20:43:33.860, 9 %, 1 %, [N/A], 0
2025/05/31 20:43:41.942, 28 %, 3 %, [N/A], 0
2025/05/31 20:43:51.622, 36 %, 4 %, [N/A], 0
2025/05/31 20:43:57.802, 37 %, 4 %, [N/A], 0
2025/05/31 20:44:03.921, 8 %, 2 %, [N/A], 0
2025/05/31 20:44:08.926, 14 %, 2 %, [N/A], 0
2025/05/31 20:44:13.943, 22 %, 2 %, [N/A], 0
2025/05/31 20:44:19.032, 18 %, 2 %, [N/A], 0
2025/05/31 20:44:24.287, 9 %, 1 %, [N/A], 0
2025/05/31 20:44:29.355, 25 %, 13 %, [N/A], 0
2025/05/31 20:44:34.392, 19 %, 2 %, [N/A], 0
2025/05/31 20:44:39.511, 17 %, 2 %, [N/A], 0
2025/05/31 20:44:45.090, 11 %, 1 %, [N/A], 0
2025/05/31 20:44:50.151, 8 %, 2 %, [N/A], 0
2025/05/31 20:44:55.333, 14 %, 2 %, [N/A], 0
2025/05/31 20:45:00.591, 14 %, 2 %, [N/A], 0
2025/05/31 20:45:05.610, 22 %, 3 %, [N/A], 0
2025/05/31 20:45:10.637, 25 %, 4 %, [N/A], 0
2025/05/31 20:45:15.661, 25 %, 4 %, [N/A], 0
2025/05/31 20:45:20.699, 19 %, 3 %, [N/A], 0
2025/05/31 20:45:25.712, 25 %, 4 %, [N/A], 0
2025/05/31 20:45:30.753, 26 %, 4 %, [N/A], 0
2025/05/31 20:45:35.777, 25 %, 4 %, [N/A], 0
2025/05/31 20:45:40.816, 29 %, 4 %, [N/A], 0
2025/05/31 20:45:45.842, 29 %, 4 %, [N/A], 0
2025/05/31 20:45:50.874, 27 %, 4 %, [N/A], 0
2025/05/31 20:45:56.000, 27 %, 4 %, [N/A], 0
2025/05/31 20:46:01.025, 32 %, 5 %, [N/A], 0
2025/05/31 20:46:06.061, 28 %, 4 %, [N/A], 0
2025/05/31 20:46:11.071, 30 %, 4 %, [N/A], 0
2025/05/31 20:46:16.081, 24 %, 4 %, [N/A], 0
2025/05/31 20:46:21.106, 20 %, 3 %, [N/A], 0
2025/05/31 20:46:26.184, 25 %, 4 %, [N/A], 0
2025/05/31 20:46:31.258, 26 %, 5 %, [N/A], 0
2025/05/31 20:46:36.296, 23 %, 4 %, [N/A], 0
2025/05/31 20:46:41.310, 22 %, 3 %, [N/A], 0
2025/05/31 20:46:46.342, 21 %, 3 %, [N/A], 0
2025/05/31 20:46:51.360, 19 %, 3 %, [N/A], 0
2025/05/31 20:46:56.415, 24 %, 4 %, [N/A], 0
2025/05/31 20:47:01.424, 23 %, 4 %, [N/A], 0
2025/05/31 20:47:06.445, 29 %, 4 %, [N/A], 0
2025/05/31 20:47:11.474, 30 %, 4 %, [N/A], 0
2025/05/31 20:47:16.486, 29 %, 5 %, [N/A], 0
