timestamp, utilization.gpu [%], utilization.memory [%], power.draw [W]
2025/06/02 03:44:30.504, 26 %, 4 %, [N/A]
2025/06/02 03:44:35.531, 27 %, 4 %, [N/A]
2025/06/02 03:44:40.546, 28 %, 4 %, [N/A]
2025/06/02 03:44:45.550, 26 %, 4 %, [N/A]
2025/06/02 03:44:50.560, 27 %, 4 %, [N/A]
2025/06/02 03:44:55.566, 29 %, 4 %, [N/A]
2025/06/02 03:45:00.578, 28 %, 4 %, [N/A]
2025/06/02 03:45:05.638, 22 %, 3 %, [N/A]
2025/06/02 03:45:10.677, 27 %, 4 %, [N/A]
2025/06/02 03:45:15.688, 27 %, 4 %, [N/A]
2025/06/02 03:45:20.699, 32 %, 4 %, [N/A]
2025/06/02 03:45:25.709, 29 %, 4 %, [N/A]
2025/06/02 03:45:30.719, 29 %, 4 %, [N/A]
2025/06/02 03:45:35.725, 25 %, 3 %, [N/A]
2025/06/02 03:45:40.738, 27 %, 4 %, [N/A]
2025/06/02 03:45:45.763, 20 %, 3 %, [N/A]
2025/06/02 03:45:50.776, 25 %, 3 %, [N/A]
2025/06/02 03:45:55.813, 20 %, 3 %, [N/A]
2025/06/02 03:46:00.826, 22 %, 3 %, [N/A]
2025/06/02 03:46:05.864, 27 %, 3 %, [N/A]
2025/06/02 03:46:10.895, 25 %, 4 %, [N/A]
2025/06/02 03:46:15.899, 28 %, 4 %, [N/A]
2025/06/02 03:46:20.908, 29 %, 4 %, [N/A]
2025/06/02 03:46:25.913, 31 %, 4 %, [N/A]
2025/06/02 03:46:30.916, 32 %, 4 %, [N/A]
2025/06/02 03:46:35.934, 31 %, 4 %, [N/A]
2025/06/02 03:46:40.938, 31 %, 4 %, [N/A]
2025/06/02 03:46:45.942, 30 %, 4 %, [N/A]
2025/06/02 03:46:50.944, 31 %, 5 %, [N/A]
2025/06/02 03:46:55.954, 31 %, 4 %, [N/A]
2025/06/02 03:47:00.970, 30 %, 4 %, [N/A]
2025/06/02 03:47:05.987, 30 %, 4 %, [N/A]
2025/06/02 03:47:11.013, 31 %, 5 %, [N/A]
2025/06/02 03:47:16.021, 30 %, 4 %, [N/A]
2025/06/02 03:47:21.024, 29 %, 4 %, [N/A]
2025/06/02 03:47:26.028, 30 %, 4 %, [N/A]
2025/06/02 03:47:31.047, 29 %, 4 %, [N/A]
2025/06/02 03:47:36.061, 28 %, 4 %, [N/A]
2025/06/02 03:47:41.067, 30 %, 4 %, [N/A]
2025/06/02 03:47:46.077, 29 %, 4 %, [N/A]
2025/06/02 03:47:51.086, 31 %, 4 %, [N/A]
2025/06/02 03:47:56.092, 29 %, 4 %, [N/A]
2025/06/02 03:48:01.103, 30 %, 4 %, [N/A]
2025/06/02 03:48:06.112, 30 %, 4 %, [N/A]
2025/06/02 03:48:11.114, 31 %, 4 %, [N/A]
2025/06/02 03:48:16.118, 30 %, 4 %, [N/A]
2025/06/02 03:48:21.130, 31 %, 4 %, [N/A]
