timestamp, utilization.gpu [%], utilization.memory [%], power.draw [W], temperature.gpu
2025/06/02 05:28:25.569, 28 %, 5 %, [N/A], 0
2025/06/02 05:28:30.632, 17 %, 3 %, [N/A], 0
2025/06/02 05:28:36.077, 4 %, 0 %, [N/A], 0
2025/06/02 05:28:41.250, 24 %, 4 %, [N/A], 0
2025/06/02 05:28:46.298, 21 %, 4 %, [N/A], 0
2025/06/02 05:28:51.652, 26 %, 5 %, [N/A], 0
2025/06/02 05:28:56.682, 33 %, 7 %, [N/A], 0
2025/06/02 05:29:01.720, 27 %, 5 %, [N/A], 0
2025/06/02 05:29:06.765, 32 %, 6 %, [N/A], 0
2025/06/02 05:29:11.791, 23 %, 4 %, [N/A], 0
2025/06/02 05:29:16.853, 25 %, 4 %, [N/A], 0
2025/06/02 05:29:21.911, 27 %, 5 %, [N/A], 0
2025/06/02 05:29:26.969, 27 %, 6 %, [N/A], 0
2025/06/02 05:29:32.046, 26 %, 5 %, [N/A], 0
2025/06/02 05:29:37.089, 27 %, 5 %, [N/A], 0
2025/06/02 05:29:42.362, 31 %, 6 %, [N/A], 0
2025/06/02 05:29:47.585, 23 %, 4 %, [N/A], 0
2025/06/02 05:29:52.597, 24 %, 4 %, [N/A], 0
2025/06/02 05:29:57.643, 32 %, 6 %, [N/A], 0
2025/06/02 05:30:02.650, 32 %, 6 %, [N/A], 0
2025/06/02 05:30:07.672, 32 %, 6 %, [N/A], 0
2025/06/02 05:30:12.694, 30 %, 6 %, [N/A], 0
2025/06/02 05:30:17.700, 32 %, 6 %, [N/A], 0
2025/06/02 05:30:22.715, 32 %, 6 %, [N/A], 0
2025/06/02 05:30:27.749, 32 %, 6 %, [N/A], 0
2025/06/02 05:30:32.767, 28 %, 5 %, [N/A], 0
2025/06/02 05:30:37.777, 32 %, 6 %, [N/A], 0
2025/06/02 05:30:42.835, 30 %, 6 %, [N/A], 0
2025/06/02 05:30:47.865, 30 %, 6 %, [N/A], 0
2025/06/02 05:30:52.886, 32 %, 6 %, [N/A], 0
2025/06/02 05:30:57.932, 31 %, 6 %, [N/A], 0
2025/06/02 05:31:02.960, 32 %, 6 %, [N/A], 0
2025/06/02 05:31:08.031, 22 %, 4 %, [N/A], 0
2025/06/02 05:31:13.199, 21 %, 4 %, [N/A], 0
2025/06/02 05:31:18.529, 23 %, 4 %, [N/A], 0
2025/06/02 05:31:24.111, 5 %, 0 %, [N/A], 0
2025/06/02 05:31:29.712, 14 %, 3 %, [N/A], 0
2025/06/02 05:31:34.974, 19 %, 2 %, [N/A], 0
2025/06/02 05:31:40.032, 24 %, 3 %, [N/A], 0
2025/06/02 05:31:45.259, 5 %, 0 %, [N/A], 0
2025/06/02 05:31:50.643, 33 %, 7 %, [N/A], 0
2025/06/02 05:31:55.680, 31 %, 6 %, [N/A], 0
2025/06/02 05:32:00.709, 30 %, 6 %, [N/A], 0
