timestamp, utilization.gpu [%], utilization.memory [%], power.draw [W]
2025/06/02 04:42:01.021, 24 %, 4 %, [N/A]
2025/06/02 04:42:06.029, 24 %, 3 %, [N/A]
2025/06/02 04:42:11.034, 25 %, 4 %, [N/A]
2025/06/02 04:42:16.039, 20 %, 3 %, [N/A]
2025/06/02 04:42:21.094, 20 %, 3 %, [N/A]
2025/06/02 04:42:26.178, 20 %, 4 %, [N/A]
2025/06/02 04:42:31.244, 23 %, 3 %, [N/A]
2025/06/02 04:42:36.267, 20 %, 4 %, [N/A]
2025/06/02 04:42:41.298, 20 %, 3 %, [N/A]
2025/06/02 04:42:46.340, 17 %, 2 %, [N/A]
2025/06/02 04:42:51.399, 22 %, 3 %, [N/A]
2025/06/02 04:42:56.435, 21 %, 3 %, [N/A]
2025/06/02 04:43:01.438, 22 %, 3 %, [N/A]
2025/06/02 04:43:06.451, 23 %, 4 %, [N/A]
2025/06/02 04:43:11.537, 25 %, 4 %, [N/A]
2025/06/02 04:43:16.546, 24 %, 4 %, [N/A]
2025/06/02 04:43:21.555, 24 %, 4 %, [N/A]
2025/06/02 04:43:26.570, 27 %, 4 %, [N/A]
2025/06/02 04:43:31.609, 28 %, 4 %, [N/A]
2025/06/02 04:43:36.704, 27 %, 4 %, [N/A]
2025/06/02 04:43:41.729, 16 %, 2 %, [N/A]
2025/06/02 04:43:46.751, 26 %, 4 %, [N/A]
2025/06/02 04:43:51.793, 28 %, 4 %, [N/A]
2025/06/02 04:43:56.798, 22 %, 3 %, [N/A]
2025/06/02 04:44:01.809, 16 %, 2 %, [N/A]
2025/06/02 04:44:06.824, 23 %, 4 %, [N/A]
2025/06/02 04:44:11.831, 27 %, 4 %, [N/A]
2025/06/02 04:44:16.836, 26 %, 4 %, [N/A]
2025/06/02 04:44:21.840, 26 %, 4 %, [N/A]
2025/06/02 04:44:26.845, 28 %, 4 %, [N/A]
2025/06/02 04:44:31.854, 28 %, 4 %, [N/A]
2025/06/02 04:44:36.861, 27 %, 4 %, [N/A]
2025/06/02 04:44:41.866, 27 %, 4 %, [N/A]
2025/06/02 04:44:46.869, 27 %, 4 %, [N/A]
2025/06/02 04:44:51.901, 27 %, 4 %, [N/A]
2025/06/02 04:44:56.914, 28 %, 4 %, [N/A]
2025/06/02 04:45:01.925, 22 %, 3 %, [N/A]
2025/06/02 04:45:06.928, 23 %, 3 %, [N/A]
2025/06/02 04:45:11.959, 20 %, 3 %, [N/A]
2025/06/02 04:45:16.965, 23 %, 3 %, [N/A]
2025/06/02 04:45:21.966, 25 %, 4 %, [N/A]
2025/06/02 04:45:26.970, 24 %, 4 %, [N/A]
2025/06/02 04:45:32.010, 24 %, 3 %, [N/A]
2025/06/02 04:45:37.016, 24 %, 4 %, [N/A]
2025/06/02 04:45:42.050, 23 %, 3 %, [N/A]
2025/06/02 04:45:47.071, 23 %, 3 %, [N/A]
2025/06/02 04:45:52.105, 23 %, 3 %, [N/A]
2025/06/02 04:45:57.116, 24 %, 4 %, [N/A]
2025/06/02 04:46:02.125, 22 %, 3 %, [N/A]
2025/06/02 04:46:07.128, 27 %, 4 %, [N/A]
2025/06/02 04:46:12.139, 27 %, 4 %, [N/A]
2025/06/02 04:46:17.142, 28 %, 4 %, [N/A]
2025/06/02 04:46:22.147, 26 %, 4 %, [N/A]
2025/06/02 04:46:27.152, 28 %, 4 %, [N/A]
