timestamp, utilization.gpu [%], utilization.memory [%], power.draw [W]
2025/06/02 03:12:48.534, 26 %, 5 %, [N/A]
2025/06/02 03:12:53.798, 32 %, 6 %, [N/A]
2025/06/02 03:12:59.233, 23 %, 4 %, [N/A]
2025/06/02 03:13:04.547, 25 %, 4 %, [N/A]
2025/06/02 03:13:09.576, 26 %, 5 %, [N/A]
2025/06/02 03:13:14.699, 22 %, 4 %, [N/A]
2025/06/02 03:13:19.787, 25 %, 4 %, [N/A]
2025/06/02 03:13:25.018, 24 %, 4 %, [N/A]
2025/06/02 03:13:30.870, 24 %, 4 %, [N/A]
2025/06/02 03:13:36.306, 14 %, 2 %, [N/A]
2025/06/02 03:13:41.467, 13 %, 3 %, [N/A]
2025/06/02 03:13:46.518, 18 %, 1 %, [N/A]
2025/06/02 03:13:51.597, 16 %, 3 %, [N/A]
2025/06/02 03:13:56.868, 14 %, 2 %, [N/A]
2025/06/02 03:14:02.220, 13 %, 3 %, [N/A]
2025/06/02 03:14:07.649, 11 %, 2 %, [N/A]
2025/06/02 03:14:12.710, 16 %, 3 %, [N/A]
2025/06/02 03:14:17.759, 18 %, 5 %, [N/A]
2025/06/02 03:14:22.843, 16 %, 4 %, [N/A]
2025/06/02 03:14:27.860, 26 %, 5 %, [N/A]
2025/06/02 03:14:32.907, 27 %, 6 %, [N/A]
2025/06/02 03:14:37.982, 27 %, 6 %, [N/A]
2025/06/02 03:14:43.023, 24 %, 6 %, [N/A]
2025/06/02 03:14:48.031, 22 %, 5 %, [N/A]
2025/06/02 03:14:53.045, 20 %, 5 %, [N/A]
2025/06/02 03:14:58.071, 22 %, 5 %, [N/A]
2025/06/02 03:15:03.091, 25 %, 2 %, [N/A]
2025/06/02 03:15:08.100, 28 %, 3 %, [N/A]
2025/06/02 03:15:13.108, 15 %, 3 %, [N/A]
2025/06/02 03:15:18.116, 15 %, 3 %, [N/A]
2025/06/02 03:15:23.120, 11 %, 3 %, [N/A]
2025/06/02 03:15:28.273, 21 %, 5 %, [N/A]
2025/06/02 03:15:33.734, 26 %, 6 %, [N/A]
2025/06/02 03:15:38.872, 25 %, 6 %, [N/A]
2025/06/02 03:15:44.129, 23 %, 6 %, [N/A]
2025/06/02 03:15:49.259, 19 %, 4 %, [N/A]
2025/06/02 03:15:54.350, 15 %, 3 %, [N/A]
2025/06/02 03:15:59.548, 16 %, 2 %, [N/A]
2025/06/02 03:16:04.758, 17 %, 3 %, [N/A]
2025/06/02 03:16:09.799, 20 %, 3 %, [N/A]
2025/06/02 03:16:14.941, 18 %, 3 %, [N/A]
2025/06/02 03:16:20.037, 18 %, 3 %, [N/A]
2025/06/02 03:16:25.148, 17 %, 3 %, [N/A]
2025/06/02 03:16:30.197, 17 %, 3 %, [N/A]
2025/06/02 03:16:35.288, 15 %, 2 %, [N/A]
2025/06/02 03:16:40.436, 18 %, 3 %, [N/A]
2025/06/02 03:16:45.631, 15 %, 2 %, [N/A]
2025/06/02 03:16:50.824, 18 %, 3 %, [N/A]
2025/06/02 03:16:56.080, 18 %, 3 %, [N/A]
2025/06/02 03:17:01.139, 13 %, 1 %, [N/A]
2025/06/02 03:17:06.233, 22 %, 11 %, [N/A]
2025/06/02 03:17:11.258, 27 %, 5 %, [N/A]
2025/06/02 03:17:16.327, 24 %, 5 %, [N/A]
2025/06/02 03:17:21.545, 18 %, 4 %, [N/A]
2025/06/02 03:17:26.650, 21 %, 4 %, [N/A]
2025/06/02 03:17:31.695, 24 %, 5 %, [N/A]
2025/06/02 03:17:36.884, 21 %, 4 %, [N/A]
2025/06/02 03:17:41.898, 15 %, 3 %, [N/A]
2025/06/02 03:17:46.960, 20 %, 4 %, [N/A]
2025/06/02 03:17:52.077, 17 %, 4 %, [N/A]
2025/06/02 03:17:57.131, 19 %, 4 %, [N/A]
2025/06/02 03:18:02.142, 20 %, 4 %, [N/A]
2025/06/02 03:18:07.156, 23 %, 5 %, [N/A]
2025/06/02 03:18:12.207, 22 %, 5 %, [N/A]
2025/06/02 03:18:17.234, 21 %, 5 %, [N/A]
2025/06/02 03:18:22.299, 21 %, 4 %, [N/A]
2025/06/02 03:18:27.314, 21 %, 4 %, [N/A]
2025/06/02 03:18:32.318, 19 %, 4 %, [N/A]
2025/06/02 03:18:37.361, 23 %, 5 %, [N/A]
2025/06/02 03:18:42.370, 22 %, 5 %, [N/A]
2025/06/02 03:18:47.399, 24 %, 5 %, [N/A]
2025/06/02 03:18:52.427, 26 %, 6 %, [N/A]
2025/06/02 03:18:57.448, 27 %, 6 %, [N/A]
2025/06/02 03:19:02.476, 26 %, 6 %, [N/A]
2025/06/02 03:19:07.519, 29 %, 7 %, [N/A]
2025/06/02 03:19:12.525, 31 %, 7 %, [N/A]
2025/06/02 03:19:17.591, 30 %, 7 %, [N/A]
2025/06/02 03:19:22.707, 27 %, 6 %, [N/A]
2025/06/02 03:19:27.741, 22 %, 5 %, [N/A]
2025/06/02 03:19:32.817, 27 %, 6 %, [N/A]
2025/06/02 03:19:37.906, 25 %, 6 %, [N/A]
2025/06/02 03:19:42.964, 23 %, 5 %, [N/A]
2025/06/02 03:19:48.002, 26 %, 6 %, [N/A]
2025/06/02 03:19:53.031, 24 %, 5 %, [N/A]
2025/06/02 03:19:58.073, 25 %, 6 %, [N/A]
2025/06/02 03:20:03.172, 23 %, 5 %, [N/A]
2025/06/02 03:20:08.321, 23 %, 5 %, [N/A]
2025/06/02 03:20:13.348, 22 %, 5 %, [N/A]
2025/06/02 03:20:18.501, 22 %, 6 %, [N/A]
2025/06/02 03:20:23.550, 21 %, 5 %, [N/A]
2025/06/02 03:20:28.599, 26 %, 6 %, [N/A]
2025/06/02 03:20:33.679, 25 %, 6 %, [N/A]
2025/06/02 03:20:38.689, 25 %, 6 %, [N/A]
2025/06/02 03:20:43.720, 30 %, 7 %, [N/A]
2025/06/02 03:20:48.755, 31 %, 7 %, [N/A]
2025/06/02 03:20:53.777, 24 %, 5 %, [N/A]
2025/06/02 03:20:58.942, 26 %, 6 %, [N/A]
2025/06/02 03:21:03.971, 28 %, 6 %, [N/A]
2025/06/02 03:21:09.019, 27 %, 6 %, [N/A]
2025/06/02 03:21:14.048, 28 %, 6 %, [N/A]
2025/06/02 03:21:19.074, 27 %, 6 %, [N/A]
2025/06/02 03:21:24.086, 26 %, 6 %, [N/A]
2025/06/02 03:21:29.165, 24 %, 5 %, [N/A]
2025/06/02 03:21:34.212, 27 %, 6 %, [N/A]
2025/06/02 03:21:39.251, 18 %, 4 %, [N/A]
2025/06/02 03:21:44.410, 20 %, 4 %, [N/A]
2025/06/02 03:21:49.561, 18 %, 5 %, [N/A]
2025/06/02 03:21:54.653, 16 %, 4 %, [N/A]
2025/06/02 03:21:59.717, 16 %, 3 %, [N/A]
2025/06/02 03:22:04.801, 21 %, 5 %, [N/A]
2025/06/02 03:22:09.938, 19 %, 4 %, [N/A]
2025/06/02 03:22:15.125, 17 %, 4 %, [N/A]
2025/06/02 03:22:20.199, 24 %, 6 %, [N/A]
2025/06/02 03:22:25.230, 24 %, 5 %, [N/A]
2025/06/02 03:22:30.262, 23 %, 5 %, [N/A]
2025/06/02 03:22:35.333, 23 %, 6 %, [N/A]
2025/06/02 03:22:40.378, 24 %, 6 %, [N/A]
2025/06/02 03:22:45.409, 22 %, 5 %, [N/A]
2025/06/02 03:22:50.488, 23 %, 5 %, [N/A]
2025/06/02 03:22:55.512, 23 %, 5 %, [N/A]
2025/06/02 03:23:00.517, 23 %, 5 %, [N/A]
2025/06/02 03:23:05.538, 24 %, 6 %, [N/A]
2025/06/02 03:23:10.570, 25 %, 6 %, [N/A]
2025/06/02 03:23:15.591, 23 %, 5 %, [N/A]
2025/06/02 03:23:20.607, 23 %, 5 %, [N/A]
2025/06/02 03:23:25.650, 20 %, 4 %, [N/A]
2025/06/02 03:23:30.760, 12 %, 3 %, [N/A]
2025/06/02 03:23:35.845, 22 %, 4 %, [N/A]
2025/06/02 03:23:40.870, 22 %, 4 %, [N/A]
2025/06/02 03:23:45.910, 22 %, 4 %, [N/A]
2025/06/02 03:23:50.951, 20 %, 4 %, [N/A]
2025/06/02 03:23:56.000, 22 %, 4 %, [N/A]
2025/06/02 03:24:01.047, 20 %, 4 %, [N/A]
2025/06/02 03:24:06.056, 22 %, 4 %, [N/A]
2025/06/02 03:24:11.183, 21 %, 4 %, [N/A]
