timestamp, utilization.gpu [%], utilization.memory [%], power.draw [W], temperature.gpu
2025/06/02 05:45:03.796, 25 %, 4 %, [N/A], 0
2025/06/02 05:45:08.832, 29 %, 4 %, [N/A], 0
2025/06/02 05:45:13.844, 28 %, 4 %, [N/A], 0
2025/06/02 05:45:18.899, 32 %, 5 %, [N/A], 0
2025/06/02 05:45:23.913, 32 %, 5 %, [N/A], 0
2025/06/02 05:45:28.943, 30 %, 5 %, [N/A], 0
2025/06/02 05:45:33.951, 16 %, 2 %, [N/A], 0
2025/06/02 05:45:38.969, 14 %, 2 %, [N/A], 0
2025/06/02 05:45:43.975, 13 %, 1 %, [N/A], 0
2025/06/02 05:45:48.996, 25 %, 4 %, [N/A], 0
2025/06/02 05:45:54.005, 24 %, 3 %, [N/A], 0
2025/06/02 05:45:59.011, 30 %, 2 %, [N/A], 0
2025/06/02 05:46:04.016, 17 %, 1 %, [N/A], 0
2025/06/02 05:46:09.031, 18 %, 8 %, [N/A], 0
2025/06/02 05:46:14.035, 13 %, 2 %, [N/A], 0
2025/06/02 05:46:19.060, 30 %, 2 %, [N/A], 0
2025/06/02 05:46:24.086, 30 %, 2 %, [N/A], 0
2025/06/02 05:46:29.101, 28 %, 1 %, [N/A], 0
2025/06/02 05:46:34.111, 15 %, 2 %, [N/A], 0
2025/06/02 05:46:39.124, 27 %, 2 %, [N/A], 0
2025/06/02 05:46:44.142, 30 %, 2 %, [N/A], 0
2025/06/02 05:46:49.150, 29 %, 1 %, [N/A], 0
2025/06/02 05:46:54.218, 26 %, 1 %, [N/A], 0
2025/06/02 05:46:59.264, 29 %, 2 %, [N/A], 0
2025/06/02 05:47:04.285, 16 %, 0 %, [N/A], 0
2025/06/02 05:47:09.334, 15 %, 2 %, [N/A], 0
2025/06/02 05:47:14.378, 30 %, 4 %, [N/A], 0
2025/06/02 05:47:19.442, 27 %, 4 %, [N/A], 0
2025/06/02 05:47:24.578, 26 %, 3 %, [N/A], 0
2025/06/02 05:47:29.592, 21 %, 2 %, [N/A], 0
2025/06/02 05:47:34.606, 27 %, 2 %, [N/A], 0
2025/06/02 05:47:39.655, 26 %, 3 %, [N/A], 0
2025/06/02 05:47:44.679, 25 %, 3 %, [N/A], 0
2025/06/02 05:47:49.693, 23 %, 3 %, [N/A], 0
2025/06/02 05:47:54.780, 22 %, 3 %, [N/A], 0
2025/06/02 05:47:59.799, 25 %, 3 %, [N/A], 0
2025/06/02 05:48:04.864, 13 %, 1 %, [N/A], 0
2025/06/02 05:48:09.893, 17 %, 2 %, [N/A], 0
2025/06/02 05:48:15.007, 18 %, 2 %, [N/A], 0
2025/06/02 05:48:20.027, 22 %, 3 %, [N/A], 0
2025/06/02 05:48:25.042, 22 %, 3 %, [N/A], 0
2025/06/02 05:48:30.052, 19 %, 2 %, [N/A], 0
2025/06/02 05:48:35.100, 21 %, 3 %, [N/A], 0
2025/06/02 05:48:40.149, 22 %, 3 %, [N/A], 0
2025/06/02 05:48:45.225, 32 %, 2 %, [N/A], 0
2025/06/02 05:48:50.277, 17 %, 2 %, [N/A], 0
2025/06/02 05:48:55.366, 15 %, 2 %, [N/A], 0
2025/06/02 05:49:00.496, 16 %, 2 %, [N/A], 0
2025/06/02 05:49:05.548, 15 %, 2 %, [N/A], 0
2025/06/02 05:49:10.663, 15 %, 2 %, [N/A], 0
2025/06/02 05:49:15.679, 17 %, 2 %, [N/A], 0
2025/06/02 05:49:20.841, 21 %, 3 %, [N/A], 0
2025/06/02 05:49:25.918, 19 %, 2 %, [N/A], 0
2025/06/02 05:49:30.958, 21 %, 2 %, [N/A], 0
2025/06/02 05:49:36.140, 20 %, 2 %, [N/A], 0
2025/06/02 05:49:41.202, 17 %, 2 %, [N/A], 0
2025/06/02 05:49:46.258, 18 %, 2 %, [N/A], 0
2025/06/02 05:49:51.401, 15 %, 2 %, [N/A], 0
2025/06/02 05:49:56.497, 18 %, 2 %, [N/A], 0
2025/06/02 05:50:02.192, 23 %, 10 %, [N/A], 0
2025/06/02 05:50:07.386, 29 %, 4 %, [N/A], 0
2025/06/02 05:50:12.397, 28 %, 4 %, [N/A], 0
2025/06/02 05:50:17.748, 27 %, 4 %, [N/A], 0
2025/06/02 05:50:22.860, 26 %, 5 %, [N/A], 0
2025/06/02 05:50:28.615, 27 %, 4 %, [N/A], 0
2025/06/02 05:50:34.279, 18 %, 3 %, [N/A], 0
2025/06/02 05:50:39.685, 26 %, 4 %, [N/A], 0
