timestamp, utilization.gpu [%], utilization.memory [%], power.draw [W]
2025/06/02 05:02:22.897, 30 %, 4 %, [N/A]
2025/06/02 05:02:27.925, 13 %, 2 %, [N/A]
2025/06/02 05:02:32.956, 21 %, 3 %, [N/A]
2025/06/02 05:02:37.958, 36 %, 6 %, [N/A]
2025/06/02 05:02:42.973, 32 %, 5 %, [N/A]
2025/06/02 05:02:47.977, 36 %, 5 %, [N/A]
2025/06/02 05:02:52.985, 35 %, 5 %, [N/A]
2025/06/02 05:02:57.997, 35 %, 5 %, [N/A]
2025/06/02 05:03:03.006, 33 %, 5 %, [N/A]
2025/06/02 05:03:08.018, 32 %, 6 %, [N/A]
2025/06/02 05:03:13.027, 33 %, 6 %, [N/A]
2025/06/02 05:03:18.084, 35 %, 6 %, [N/A]
2025/06/02 05:03:23.124, 32 %, 5 %, [N/A]
2025/06/02 05:03:28.136, 16 %, 3 %, [N/A]
2025/06/02 05:03:33.139, 39 %, 3 %, [N/A]
2025/06/02 05:03:38.141, 16 %, 1 %, [N/A]
2025/06/02 05:03:43.144, 20 %, 2 %, [N/A]
2025/06/02 05:03:48.147, 20 %, 2 %, [N/A]
2025/06/02 05:03:53.149, 19 %, 2 %, [N/A]
2025/06/02 05:03:58.154, 19 %, 2 %, [N/A]
2025/06/02 05:04:03.156, 20 %, 2 %, [N/A]
2025/06/02 05:04:08.162, 20 %, 2 %, [N/A]
2025/06/02 05:04:13.472, 9 %, 2 %, [N/A]
2025/06/02 05:04:18.692, 26 %, 1 %, [N/A]
2025/06/02 05:04:23.707, 16 %, 8 %, [N/A]
2025/06/02 05:04:28.874, 10 %, 1 %, [N/A]
2025/06/02 05:04:33.912, 36 %, 25 %, [N/A]
2025/06/02 05:04:39.141, 33 %, 23 %, [N/A]
2025/06/02 05:04:44.222, 14 %, 2 %, [N/A]
2025/06/02 05:04:49.229, 19 %, 2 %, [N/A]
2025/06/02 05:04:54.249, 18 %, 1 %, [N/A]
2025/06/02 05:04:59.254, 19 %, 2 %, [N/A]
2025/06/02 05:05:04.266, 19 %, 2 %, [N/A]
2025/06/02 05:05:09.286, 19 %, 2 %, [N/A]
2025/06/02 05:05:14.381, 18 %, 1 %, [N/A]
2025/06/02 05:05:19.609, 16 %, 2 %, [N/A]
2025/06/02 05:05:25.548, 23 %, 3 %, [N/A]
2025/06/02 05:05:30.637, 16 %, 2 %, [N/A]
2025/06/02 05:05:35.970, 21 %, 3 %, [N/A]
2025/06/02 05:05:41.369, 21 %, 1 %, [N/A]
2025/06/02 05:05:46.399, 33 %, 2 %, [N/A]
2025/06/02 05:05:51.559, 25 %, 3 %, [N/A]
2025/06/02 05:05:56.680, 22 %, 3 %, [N/A]
2025/06/02 05:06:01.855, 18 %, 2 %, [N/A]
2025/06/02 05:06:06.930, 23 %, 3 %, [N/A]
2025/06/02 05:06:12.321, 24 %, 3 %, [N/A]
2025/06/02 05:06:17.638, 24 %, 3 %, [N/A]
2025/06/02 05:06:22.786, 22 %, 3 %, [N/A]
2025/06/02 05:06:27.880, 22 %, 3 %, [N/A]
2025/06/02 05:06:33.138, 21 %, 3 %, [N/A]
2025/06/02 05:06:38.320, 25 %, 4 %, [N/A]
2025/06/02 05:06:43.535, 15 %, 2 %, [N/A]
2025/06/02 05:06:49.010, 12 %, 1 %, [N/A]
2025/06/02 05:06:54.186, 18 %, 1 %, [N/A]
2025/06/02 05:06:59.270, 19 %, 10 %, [N/A]
2025/06/02 05:07:04.591, 22 %, 13 %, [N/A]
2025/06/02 05:07:09.858, 18 %, 11 %, [N/A]
2025/06/02 05:07:15.091, 22 %, 12 %, [N/A]
2025/06/02 05:07:20.192, 17 %, 6 %, [N/A]
2025/06/02 05:07:25.728, 24 %, 4 %, [N/A]
2025/06/02 05:07:31.292, 25 %, 5 %, [N/A]
2025/06/02 05:07:36.511, 24 %, 4 %, [N/A]
2025/06/02 05:07:41.862, 25 %, 5 %, [N/A]
2025/06/02 05:07:47.140, 20 %, 3 %, [N/A]
2025/06/02 05:07:52.310, 26 %, 5 %, [N/A]
2025/06/02 05:07:57.337, 25 %, 4 %, [N/A]
2025/06/02 05:08:02.557, 24 %, 5 %, [N/A]
2025/06/02 05:08:07.778, 24 %, 4 %, [N/A]
