timestamp, utilization.gpu [%], utilization.memory [%], power.draw [W], temperature.gpu
2025/05/31 21:09:07.581, 14 %, 2 %, [N/A], 0
2025/05/31 21:09:12.704, 9 %, 0 %, [N/A], 0
2025/05/31 21:09:17.721, 25 %, 13 %, [N/A], 0
2025/05/31 21:09:23.275, 14 %, 7 %, [N/A], 0
2025/05/31 21:09:29.255, 11 %, 2 %, [N/A], 0
2025/05/31 21:09:35.128, 19 %, 2 %, [N/A], 0
2025/05/31 21:09:40.260, 26 %, 11 %, [N/A], 0
2025/05/31 21:09:45.355, 12 %, 6 %, [N/A], 0
2025/05/31 21:09:51.658, 31 %, 3 %, [N/A], 0
2025/05/31 21:09:59.259, 34 %, 3 %, [N/A], 0
2025/05/31 21:10:07.058, 36 %, 3 %, [N/A], 0
2025/05/31 21:10:13.445, 12 %, 2 %, [N/A], 0
2025/05/31 21:10:18.510, 8 %, 2 %, [N/A], 0
2025/05/31 21:10:24.664, 13 %, 1 %, [N/A], 0
2025/05/31 21:10:30.989, 19 %, 2 %, [N/A], 0
2025/05/31 21:10:36.063, 31 %, 4 %, [N/A], 0
2025/05/31 21:10:45.457, 23 %, 3 %, [N/A], 0
2025/05/31 21:10:51.008, 32 %, 5 %, [N/A], 0
2025/05/31 21:10:57.526, 31 %, 5 %, [N/A], 0
2025/05/31 21:11:02.580, 35 %, 5 %, [N/A], 0
2025/05/31 21:11:07.660, 37 %, 6 %, [N/A], 0
2025/05/31 21:11:12.761, 36 %, 6 %, [N/A], 0
2025/05/31 21:11:17.790, 37 %, 6 %, [N/A], 0
2025/05/31 21:11:23.028, 34 %, 6 %, [N/A], 0
2025/05/31 21:11:28.735, 21 %, 2 %, [N/A], 0
2025/05/31 21:11:33.772, 28 %, 3 %, [N/A], 0
2025/05/31 21:11:38.782, 35 %, 6 %, [N/A], 0
2025/05/31 21:11:43.807, 13 %, 2 %, [N/A], 0
2025/05/31 21:11:48.817, 21 %, 1 %, [N/A], 0
2025/05/31 21:11:53.825, 33 %, 2 %, [N/A], 0
2025/05/31 21:11:58.837, 32 %, 2 %, [N/A], 0
2025/05/31 21:12:03.845, 32 %, 2 %, [N/A], 0
2025/05/31 21:12:08.853, 32 %, 2 %, [N/A], 0
2025/05/31 21:12:13.924, 17 %, 1 %, [N/A], 0
2025/05/31 21:12:18.966, 30 %, 2 %, [N/A], 0
2025/05/31 21:12:24.066, 12 %, 2 %, [N/A], 0
2025/05/31 21:12:29.169, 30 %, 16 %, [N/A], 0
2025/05/31 21:12:34.430, 13 %, 2 %, [N/A], 0
2025/05/31 21:12:39.586, 16 %, 3 %, [N/A], 0
2025/05/31 21:12:44.600, 31 %, 2 %, [N/A], 0
2025/05/31 21:12:49.609, 25 %, 3 %, [N/A], 0
2025/05/31 21:12:54.619, 13 %, 2 %, [N/A], 0
2025/05/31 21:12:59.637, 17 %, 2 %, [N/A], 0
2025/05/31 21:13:04.643, 20 %, 2 %, [N/A], 0
2025/05/31 21:13:09.653, 19 %, 2 %, [N/A], 0
2025/05/31 21:13:14.660, 19 %, 2 %, [N/A], 0
2025/05/31 21:13:19.674, 19 %, 2 %, [N/A], 0
2025/05/31 21:13:24.761, 15 %, 1 %, [N/A], 0
2025/05/31 21:13:30.369, 22 %, 3 %, [N/A], 0
2025/05/31 21:13:35.708, 25 %, 5 %, [N/A], 0
2025/05/31 21:13:40.841, 15 %, 3 %, [N/A], 0
2025/05/31 21:13:46.064, 27 %, 5 %, [N/A], 0
2025/05/31 21:13:51.172, 19 %, 3 %, [N/A], 0
2025/05/31 21:13:56.409, 29 %, 6 %, [N/A], 0
2025/05/31 21:14:01.530, 14 %, 3 %, [N/A], 0
2025/05/31 21:14:06.780, 13 %, 1 %, [N/A], 0
2025/05/31 21:14:12.110, 25 %, 5 %, [N/A], 0
2025/05/31 21:14:17.627, 19 %, 3 %, [N/A], 0
2025/05/31 21:14:23.138, 21 %, 4 %, [N/A], 0
2025/05/31 21:14:28.570, 16 %, 2 %, [N/A], 0
2025/05/31 21:14:33.615, 24 %, 2 %, [N/A], 0
2025/05/31 21:14:38.669, 21 %, 2 %, [N/A], 0
2025/05/31 21:14:43.762, 13 %, 2 %, [N/A], 0
2025/05/31 21:14:48.855, 22 %, 1 %, [N/A], 0
2025/05/31 21:14:54.068, 25 %, 2 %, [N/A], 0
2025/05/31 21:14:59.669, 21 %, 4 %, [N/A], 0
2025/05/31 21:15:04.819, 24 %, 4 %, [N/A], 0
2025/05/31 21:15:10.063, 15 %, 3 %, [N/A], 0
2025/05/31 21:15:15.256, 17 %, 3 %, [N/A], 0
2025/05/31 21:15:20.318, 18 %, 3 %, [N/A], 0
2025/05/31 21:15:25.462, 15 %, 2 %, [N/A], 0
2025/05/31 21:15:30.547, 8 %, 1 %, [N/A], 0
2025/05/31 21:15:35.659, 14 %, 2 %, [N/A], 0
2025/05/31 21:15:40.806, 16 %, 2 %, [N/A], 0
2025/05/31 21:15:45.909, 16 %, 1 %, [N/A], 0
2025/05/31 21:15:51.481, 17 %, 2 %, [N/A], 0
2025/05/31 21:15:56.592, 11 %, 2 %, [N/A], 0
2025/05/31 21:16:01.737, 13 %, 1 %, [N/A], 0
2025/05/31 21:16:06.759, 25 %, 2 %, [N/A], 0
2025/05/31 21:16:11.829, 25 %, 2 %, [N/A], 0
2025/05/31 21:16:16.916, 27 %, 2 %, [N/A], 0
2025/05/31 21:16:22.106, 30 %, 2 %, [N/A], 0
2025/05/31 21:16:27.164, 13 %, 2 %, [N/A], 0
2025/05/31 21:16:32.330, 25 %, 2 %, [N/A], 0
2025/05/31 21:16:37.530, 11 %, 2 %, [N/A], 0
2025/05/31 21:16:42.648, 10 %, 1 %, [N/A], 0
2025/05/31 21:16:48.383, 28 %, 5 %, [N/A], 0
2025/05/31 21:16:53.761, 22 %, 4 %, [N/A], 0
2025/05/31 21:16:58.920, 15 %, 2 %, [N/A], 0
2025/05/31 21:17:04.025, 18 %, 1 %, [N/A], 0
2025/05/31 21:17:09.067, 21 %, 11 %, [N/A], 0
2025/05/31 21:17:14.275, 20 %, 14 %, [N/A], 0
2025/05/31 21:17:19.660, 16 %, 6 %, [N/A], 0
2025/05/31 21:17:25.039, 20 %, 3 %, [N/A], 0
2025/05/31 21:17:30.227, 16 %, 3 %, [N/A], 0
2025/05/31 21:17:35.685, 17 %, 2 %, [N/A], 0
2025/05/31 21:17:41.375, 17 %, 1 %, [N/A], 0
2025/05/31 21:17:46.670, 13 %, 1 %, [N/A], 0
2025/05/31 21:17:52.042, 6 %, 1 %, [N/A], 0
2025/05/31 21:17:57.045, 22 %, 2 %, [N/A], 0
2025/05/31 21:18:02.139, 15 %, 3 %, [N/A], 0
2025/05/31 21:18:07.512, 25 %, 5 %, [N/A], 0
2025/05/31 21:18:12.632, 29 %, 6 %, [N/A], 0
2025/05/31 21:18:18.057, 32 %, 7 %, [N/A], 0
2025/05/31 21:18:23.079, 27 %, 5 %, [N/A], 0
2025/05/31 21:18:28.093, 33 %, 7 %, [N/A], 0
2025/05/31 21:18:33.155, 33 %, 7 %, [N/A], 0
2025/05/31 21:18:38.200, 31 %, 6 %, [N/A], 0
2025/05/31 21:18:43.277, 31 %, 6 %, [N/A], 0
2025/05/31 21:18:48.328, 30 %, 6 %, [N/A], 0
2025/05/31 21:18:53.389, 32 %, 6 %, [N/A], 0
2025/05/31 21:18:58.487, 31 %, 6 %, [N/A], 0
2025/05/31 21:19:03.543, 33 %, 7 %, [N/A], 0
2025/05/31 21:19:08.592, 33 %, 7 %, [N/A], 0
2025/05/31 21:19:13.626, 30 %, 6 %, [N/A], 0
2025/05/31 21:19:18.662, 32 %, 7 %, [N/A], 0
2025/05/31 21:19:23.681, 30 %, 6 %, [N/A], 0
2025/05/31 21:19:28.838, 17 %, 4 %, [N/A], 0
2025/05/31 21:19:34.049, 25 %, 5 %, [N/A], 0
2025/05/31 21:19:39.342, 26 %, 5 %, [N/A], 0
2025/05/31 21:19:44.618, 28 %, 5 %, [N/A], 0
2025/05/31 21:19:49.841, 16 %, 3 %, [N/A], 0
2025/05/31 21:19:54.952, 20 %, 4 %, [N/A], 0
2025/05/31 21:20:00.793, 13 %, 2 %, [N/A], 0
2025/05/31 21:20:06.223, 16 %, 5 %, [N/A], 0
2025/05/31 21:20:11.309, 19 %, 4 %, [N/A], 0
2025/05/31 21:20:16.425, 13 %, 2 %, [N/A], 0
2025/05/31 21:20:21.793, 8 %, 1 %, [N/A], 0
2025/05/31 21:20:26.942, 24 %, 4 %, [N/A], 0
2025/05/31 21:20:32.305, 25 %, 4 %, [N/A], 0
2025/05/31 21:20:38.192, 22 %, 4 %, [N/A], 0
2025/05/31 21:20:43.327, 21 %, 4 %, [N/A], 0
2025/05/31 21:20:48.490, 24 %, 4 %, [N/A], 0
2025/05/31 21:20:53.800, 21 %, 4 %, [N/A], 0
2025/05/31 21:20:59.358, 20 %, 3 %, [N/A], 0
2025/05/31 21:21:04.578, 19 %, 3 %, [N/A], 0
2025/05/31 21:21:09.826, 19 %, 3 %, [N/A], 0
2025/05/31 21:21:15.407, 21 %, 3 %, [N/A], 0
2025/05/31 21:21:20.649, 24 %, 3 %, [N/A], 0
2025/05/31 21:21:26.106, 13 %, 2 %, [N/A], 0
2025/05/31 21:21:31.359, 24 %, 2 %, [N/A], 0
2025/05/31 21:21:36.477, 32 %, 2 %, [N/A], 0
2025/05/31 21:21:41.489, 30 %, 2 %, [N/A], 0
2025/05/31 21:21:46.505, 34 %, 2 %, [N/A], 0
2025/05/31 21:21:51.618, 15 %, 2 %, [N/A], 0
2025/05/31 21:21:56.635, 18 %, 3 %, [N/A], 0
2025/05/31 21:22:01.880, 15 %, 3 %, [N/A], 0
2025/05/31 21:22:07.182, 12 %, 2 %, [N/A], 0
2025/05/31 21:22:12.910, 24 %, 4 %, [N/A], 0
2025/05/31 21:22:17.996, 20 %, 4 %, [N/A], 0
2025/05/31 21:22:23.006, 15 %, 3 %, [N/A], 0
2025/05/31 21:22:28.052, 20 %, 4 %, [N/A], 0
2025/05/31 21:22:33.170, 22 %, 5 %, [N/A], 0
2025/05/31 21:22:38.265, 20 %, 4 %, [N/A], 0
2025/05/31 21:22:43.304, 22 %, 4 %, [N/A], 0
2025/05/31 21:22:48.317, 21 %, 4 %, [N/A], 0
2025/05/31 21:22:53.357, 21 %, 4 %, [N/A], 0
2025/05/31 21:22:58.380, 20 %, 4 %, [N/A], 0
2025/05/31 21:23:03.403, 20 %, 4 %, [N/A], 0
2025/05/31 21:23:08.418, 22 %, 4 %, [N/A], 0
2025/05/31 21:23:13.465, 19 %, 4 %, [N/A], 0
2025/05/31 21:23:18.476, 25 %, 2 %, [N/A], 0
